Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.5343138122082246,0.15299756813297696,1.0,0.04555928636797155,0.2735356401718093,0.23035245736495458,0.5589604315267979,0.00010511489274420413,0.015504609189070174,0.00769876056412278
2,0.10477921552692013,0.02037197288327844,0.4259564815413577,0.008548941190248382,0.05827440438248469,0.0172433315047062,0.5199671523545146,0.010491970690175358,1.0,0.0027822643851265964
3,1.0,0.018046215048757783,0.00010606695429191299,0.0011620373522252749,0.06857482110632945,0.020385130404054465,0.11469438899477646,0.027483702224746012,7.826352871907145e-05,0.027072626241885882
4,1.0,0.0278716570465955,0.00043561714954672826,2.5728128712052005e-06,0.002681513004014563,4.357592566329602e-05,0.007125977673600647,0.0007866116241026902,0.00017753788706869245,0.0004142670520358374
5,1.0,0.005202164777988902,0.0012876081938403866,0.0006565503047526858,0.0002417709423518617,0.03134553428520507,0.0022517394904615563,0.008709785976058445,0.001039629196612591,0.0034318229776701074
6,1.0,0.005160297839511114,0.005116472495453938,0.001018828436860574,0.1015373382170244,0.12584664345607208,0.01638856040680447,0.3641832336426223,0.00023047618352693277,0.0016652679992743271
7,0.8473773322672564,0.07628114113556629,0.060070681698823424,0.07635303869354937,1.0,0.5077604353645467,0.11458260871245309,0.0057172018115583334,0.2401641351047919,0.08542542446150098
8,1.0,0.011870403094913199,2.5219240447080256e-05,0.009533140200992857,0.09837727589911668,0.0008049652708937979,0.032881399644495546,0.08709202066745948,3.7563642700140285e-06,0.00046101253562692043
9,1.0,0.0004931153244750515,0.002997240933469706,0.00039636145405192846,0.018889788288750108,0.002930828347945513,0.0028065188763005595,0.0012117305113683622,1.3151377098668262e-05,0.0003812046935767855
10,1.0,0.8962681714181727,0.027363187008666235,0.0008699999465185804,0.002807011391485036,0.0008345715522149229,0.0013346686516375742,0.07503950126328215,0.016499063764655996,0.0040168188443430956
11,1.0,0.017264261092819092,0.006146022809015559,0.00035687010170572914,0.03571430378177752,0.06212731059752441,0.020890537028643352,0.030295901151845127,5.202408518418542e-06,0.0003176477310051648
